"year","sector","maara","sector2","col","ran","decim","si","lab"
2024,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2025,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2026,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2027,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2028,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2029,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2030,"cost",NA,"Metsämaa ja puutuotteet","#E617D1",0,0,3,"Kustannus yksiköistä, M€"
2009,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2006,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2005,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2012,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2008,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2010,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2011,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2014,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2013,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2007,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2015,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2016,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2017,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2020,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2019,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2018,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2023,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2021,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2022,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2024,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2025,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2026,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2027,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2028,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2029,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2030,"debt",NA,"Metsämaa ja puutuotteet","#E617D1",-2,0,3,"Kustannusten kertymä, M€"
2009,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2006,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2005,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2012,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2008,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2010,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2011,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2014,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2013,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2007,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2015,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2016,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2017,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2020,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2019,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2018,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2023,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2021,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2022,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2024,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2025,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2026,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2027,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2028,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2029,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
2030,"price",NA,"Metsämaa ja puutuotteet","#bc810d",1,0,3,"Yksiköiden keskihinta, €/t"
